2026-05-17 13:57:43,929 | INFO     | chat_module          | ChatModule init
2026-05-17 13:57:43,929 | INFO     | side_llm_pipeline.side_model | SideModel init
2026-05-17 13:57:43,929 | INFO     | side_llm_pipeline.models.Qwen_Qwen3_4B_Instruct_2507.model | Loading Qwen model
2026-05-17 13:57:43,929 | DEBUG    | side_llm_pipeline.models.Qwen_Qwen3_4B_Instruct_2507.model | Loading tokenizer | model=Qwen/Qwen3-4B-Instruct-2507
2026-05-17 13:57:43,957 | DEBUG    | httpcore.connection  | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
2026-05-17 13:57:44,030 | DEBUG    | httpcore.connection  | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x72c813e199f0>
2026-05-17 13:57:44,030 | DEBUG    | httpcore.connection  | start_tls.started ssl_context=<ssl.SSLContext object at 0x72c813fcaf40> server_hostname='huggingface.co' timeout=10
2026-05-17 13:57:44,243 | DEBUG    | httpcore.connection  | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x72c813e19ba0>
2026-05-17 13:57:44,244 | DEBUG    | httpcore.http11      | send_request_headers.started request=<Request [b'HEAD']>
2026-05-17 13:57:44,245 | DEBUG    | httpcore.http11      | send_request_headers.complete
2026-05-17 13:57:44,245 | DEBUG    | httpcore.http11      | send_request_body.started request=<Request [b'HEAD']>
2026-05-17 13:57:44,245 | DEBUG    | httpcore.http11      | send_request_body.complete
2026-05-17 13:57:44,245 | DEBUG    | httpcore.http11      | receive_response_headers.started request=<Request [b'HEAD']>
